"cty","Name","Household_Income_rW_gP_pall","Incarceration_Rate_rW_gP_pall","Teenage_Birth_Rate_women_only_rW_gP_pall","Individual_Income_Excluding_Spouse_rW_gP_pall","Fraction_Married_rW_gP_pall","Spouse's_Income_rW_gP_pall","Employment_Rate_rW_gP_pall","High_School_Graduation_Rate_rW_gP_pall","College_Graduation_Rate_rW_gP_pall","Hours_Worked_Per_Week_rW_gP_pall","Hourly_Wage_$/hour_rW_gP_pall","Frac._in_Top_20%_Based_on_Household_Income_rW_gP_pall","Frac._In_Top_1%_Based_on_Household_Income_rW_gP_pall","Frac._in_Top_20%_Based_on_Indiv_Income_rW_gP_pall","Frac._In_Top_1%_Based_on_Indiv._Income_rW_gP_pall","%_Staying_in_Same_Commuting_Zone_as_Adults_rW_gP_pall","%_Staying_in_Same_Tract_as_Adults_rW_gP_pall","Household_Income_Stayed_in_Commuting_Zone_rW_gP_pall","Individual_Income_Stayed_in_Commuting_Zone_rW_gP_pall","Household_Income_for_U.S._Natives_rW_gP_pall","Household_Income_for_Immigrants_rW_gP_pall","Individual_Income_for_U.S._Natives_rW_gP_pall","Individual_Income_for_Immigrants_rW_gP_pall","Number_of_Children_rW_gP_pall"
"cty24003","Anne Arundel County, MD",56278,0.0067,,36145,0.5403,46054,0.7994,0.9131,0.4538,34,21,0.3407,0.0126,0.3147,0.0125,0.6508,0.2019,53648,35630,57629,59190,36642,39738,93279
"cty24005","Baltimore County, MD",56333,0.0086,,36455,0.5343,47276,0.8002,0.9258,0.4777,33,20,0.3432,0.0197,0.3117,0.0187,0.7077,0.1935,53235,35328,58981,64150,37574,41782,116789
"cty24013","Carroll County, MD",57589,0.0081,,35974,0.5852,44328,0.8163,0.9345,0.4648,35,20,0.33,0.0084,0.288,0.009,0.6054,0.1869,54626,35326,59236,52296,36397,33507,39390
"cty24025","Harford County, MD",56028,0.0092,,36164,0.5517,45141,0.8149,0.9299,0.4485,33,20,0.3274,0.0102,0.2983,0.0089,0.6937,0.1955,54322,35878,58155,53557,36806,38225,49936
"cty24027","Howard County, MD",67548,0.0035,,41611,0.5846,49546,0.8277,0.9541,0.6571,37,22,0.4354,0.0229,0.4055,0.0235,0.5594,0.1383,63108,40297,70538,73482,42884,45794,48267
"cty24029","Kent County, MD",51576,0.0051,,34428,0.5281,42744,0.7924,0.943,0.4946,36,17,0.2945,0.0197,0.2559,0.0149,0.5496,0.2622,44174,30674,55071,,35863,,2871
"cty24031","Montgomery County, MD",67725,0.0026,,42376,0.5641,51182,0.8078,0.9459,0.7152,36,23,0.448,0.0438,0.4311,0.0407,0.5485,0.1364,65030,42084,70949,65288,43245,42927,119475
"cty24033","Prince George's County, MD",55039,0.0064,,36240,0.5213,44337,0.8055,0.919,0.4721,33,21,0.3177,0.009,0.314,0.0092,0.5108,0.1598,50605,35213,56895,55195,37238,37960,33903
"cty24035","Queen Anne's County, MD",53780,0.0087,,34288,0.5609,43797,0.7899,0.919,0.3661,33,20,0.3011,0.0107,0.2705,0.0115,0.5833,0.2129,49519,32386,58367,73557,35676,42045,9025
"cty24510","Baltimore city, MD",43407,0.0165,,29675,0.4553,42266,0.7345,0.8325,0.3742,31,19,0.2339,0.0143,0.2265,0.0122,0.7062,0.1927,40757,28640,48345,55455,32052,34343,31922