"cty","Name","Household_Income_rA_gP_pall","Incarceration_Rate_rA_gP_pall","Teenage_Birth_Rate_women_only_rA_gP_pall","Individual_Income_Excluding_Spouse_rA_gP_pall","Fraction_Married_rA_gP_pall","Spouse's_Income_rA_gP_pall","Employment_Rate_rA_gP_pall","High_School_Graduation_Rate_rA_gP_pall","College_Graduation_Rate_rA_gP_pall","Hours_Worked_Per_Week_rA_gP_pall","Hourly_Wage_$/hour_rA_gP_pall","Frac._in_Top_20%_Based_on_Household_Income_rA_gP_pall","Frac._In_Top_1%_Based_on_Household_Income_rA_gP_pall","Frac._in_Top_20%_Based_on_Indiv_Income_rA_gP_pall","Frac._In_Top_1%_Based_on_Indiv._Income_rA_gP_pall","%_Staying_in_Same_Commuting_Zone_as_Adults_rA_gP_pall","%_Staying_in_Same_Tract_as_Adults_rA_gP_pall","Household_Income_Stayed_in_Commuting_Zone_rA_gP_pall","Individual_Income_Stayed_in_Commuting_Zone_rA_gP_pall","Household_Income_for_U.S._Natives_rA_gP_pall","Household_Income_for_Immigrants_rA_gP_pall","Individual_Income_for_U.S._Natives_rA_gP_pall","Individual_Income_for_Immigrants_rA_gP_pall","Number_of_Children_rA_gP_pall"
"cty11001","District of Columbia, DC",51207,0,,34843,0.475,41351,0.7954,0.8953,0.4757,31,19,0.2716,0.0201,0.2927,0.0192,0.7611,0.2014,49926,34450,65785,53545,49388,35601,1721
"cty24003","Anne Arundel County, MD",59932,0.0017,,38104,0.5324,47610,0.8109,0.9382,0.5414,34,21,0.3665,0.0195,0.3522,0.0196,0.5927,0.2213,55116,37138,44261,69582,28152,42701,2615
"cty24009","Calvert County, MD",66806,0.0034,,44905,0.5359,42751,0.8272,,,,,0.4229,0.0307,0.4517,0.0385,0.5202,0.1254,68658,51487,,,,,179
"cty24017","Charles County, MD",57183,0.0103,,38273,0.457,46035,0.7978,0.9951,0.5641,,,0.3538,0.0118,0.3116,0.0132,0.6713,0.2435,54197,37217,,56416,,36932,605
"cty24031","Montgomery County, MD",69668,0.0016,,44994,0.5289,50945,0.8203,0.9436,0.7206,37,25,0.4658,0.0492,0.4912,0.0499,0.6635,0.2153,64228,43357,61801,73619,42071,46941,23679
"cty24033","Prince George's County, MD",61177,0.0021,,40836,0.5213,46333,0.8253,0.9164,0.547,34,22,0.3858,0.0146,0.3996,0.0161,0.6822,0.2391,57762,40089,50634,66048,36569,42328,6168
"cty51013","Arlington County, VA",57636,0.0024,,38627,0.5256,43758,0.7958,0.9062,0.5806,33,21,0.3518,0.0264,0.3718,0.0211,0.7821,0.2075,55719,38239,55097,61907,40521,40277,2599
"cty51059","Fairfax County, VA",67582,0.001,,43863,0.5289,48455,0.807,0.9264,0.705,36,24,0.4468,0.036,0.4745,0.0341,0.7323,0.2123,65790,43970,63688,71141,39662,46570,31701
"cty51107","Loudoun County, VA",66401,0.0004,,41777,0.531,51123,0.8049,0.9453,0.6236,38,22,0.4144,0.0241,0.4303,0.0162,0.7502,0.2315,66921,42568,,66591,,39609,2534
"cty51153","Prince William County, VA",62633,0.0013,,40111,0.5556,44272,0.8057,0.9196,0.5742,32,20,0.3717,0.0183,0.402,0.0207,0.7042,0.1826,63675,41194,64644,61321,31237,40824,2742
"cty51510","Alexandria city, VA",61814,0.0002,,40353,0.55,41100,0.7892,0.9277,0.6584,25,18,0.3638,0.0188,0.4155,0.0145,0.7398,0.1718,63063,42297,60022,59883,45284,40939,1096
"cty51600","Fairfax city, VA",57332,0.0001,,38617,0.5177,41742,0.7687,0.9065,0.7754,,,0.3532,0.0212,0.3994,0.0234,0.8006,0.2516,56102,38933,,61350,,43017,545
"cty51610","Falls Church city, VA",60927,0,,38614,0.4828,54001,0.7225,,,,,0.3585,0.01,0.3662,0.0062,0.6259,0.1644,65355,42339,,,,,133
"cty51683","Manassas city, VA",61946,0,,42868,0.4127,48898,0.8598,,,,,0.3666,0.0223,0.4223,0.0313,0.7875,0.1753,58999,43547,,,,,330
"cty51685","Manassas Park city, VA",62037,0,,37916,0.5261,45493,0.7533,,,,,0.3502,0.0023,0.3208,0.0023,0.7514,0.1743,65180,37705,,,,,116